date,usd_to_aud
2026-06-14,1.4203
2026-06-15,1.4155
2026-06-16,1.414
2026-06-17,1.4146
2026-06-18,1.4195
2026-06-19,1.4258
2026-06-20,1.4257
2026-06-21,1.4256
2026-06-22,1.4256
2026-06-23,1.4286
2026-06-24,1.4443
2026-06-25,1.4499
2026-06-26,1.4488
2026-06-27,1.4496
2026-06-28,1.4495
2026-06-29,1.45
2026-06-30,1.4519
2026-07-01,1.4487
2026-07-02,1.451
2026-07-03,1.447
2026-07-04,1.4419
2026-07-05,1.4426
2026-07-06,1.4416
2026-07-07,1.4395
2026-07-08,1.4423
2026-07-09,1.4427
2026-07-10,1.441
2026-07-11,1.4387
