date,usd_to_cad
2026-06-14,1.3982
2026-06-15,1.3983
2026-06-16,1.3982
2026-06-17,1.3991
2026-06-18,1.4051
2026-06-19,1.4124
2026-06-20,1.4151
2026-06-21,1.4149
2026-06-22,1.4149
2026-06-23,1.416
2026-06-24,1.4197
2026-06-25,1.4231
2026-06-26,1.4207
2026-06-27,1.4189
2026-06-28,1.4187
2026-06-29,1.4189
2026-06-30,1.4204
2026-07-01,1.4208
2026-07-02,1.4214
2026-07-03,1.4188
2026-07-04,1.4197
2026-07-05,1.4196
2026-07-06,1.4203
2026-07-07,1.4212
2026-07-08,1.4204
2026-07-09,1.4173
2026-07-10,1.4172
2026-07-11,1.4153
2026-07-12,1.4151
2026-07-13,1.4165
